English,Japanese
clamorous,喧噪
clan,一族
clandestine,秘密の
clang,打ち鳴らす
clank,かちゃんと鳴る音
clap,拍手
clapboard,下見板張り
clapped,拍手
clapper,舌
claptrap,くだらない　
clarification,明確化
clarify,明らかにする
clarity,明瞭
clash,衝突
clasp,しっかり握る
classical,古典的な
classically,古典
classicism,古典主義
classicist,古典学者
classification,分類
classified,分類された
classifier,分類器
classify,分類する
classmate,同級生
classroom,教室
classy,高級な
clatter,カチャカチャという音
clause,句
claustrophobia,閉所恐怖症
claustrophobic,閉所恐怖症の
clavicle,鎖骨
claw,爪
clay,粘土
cleanliness,清潔
cleanly,きれいに
cleanse,清める
cleanup,掃除
clearer,明確に
clearest,明確な
clearinghouse,情報センター
clearly,明らかに
cleavage,開裂
cleaved,切断された
clef,音符記号
cleft,割れ目
clemency,減刑
clench,食いしばる
clergy,聖職者
clergyman,牧師
cleric,聖職者
clerical,聖職者
clerk,店員
clever,賢い　
cleverly,巧妙に
cleverness,賢さ
cliche,決まり文句
clientele,顧客
cliff,崖
climactic,クライマックスの
climate,気候
climatic,気候の
climb,登る
clincher,決め手
cling,しがみつく
clingy,体にぴったりした
clinical,臨床の
clinically,臨床的に
clinician,臨床医
clink,かちんという音
clique,徒党
cloaca,排出腔
clobber,ひどく殴る
clockwise,時計回りの
clockwork,時計仕掛け
clod,土塊
cloister,回廊
cloistered,隠遁的な
close,閉じる
closed,閉じた
closely,密接に
closeness,近さ
closeout,見切り
closest,最も近い　
closing,閉鎖
clostridium,クロストリジウム属
closure,閉鎖
clot,血餅
cloth,布
clothe,衣服を着せる
clothes,服
clothespin,洗濯挟み
clothier,服屋
clothing,衣類
cloud,雲
cloudless,雲のない
cloudy,曇った
clout,影響力
cloy,飽きが来る
clubby,クラブ風の
cluck,鳴き声
clue,手掛かり
clueless,無知な
clump,塊
clumsily,不器用に
clumsy,不器用な
clunk,一撃
clunky,格好悪い　
clutched,クラッチ式
clutter,乱雑
coach,コー​​チ
coached,コー​​チ
coaching,コー​​チング
coagulation,凝固
coal,石炭
coalesce,合体する
coalescence,合体
coalition,連合
coarse,粗い　
coarsely,粗野に
coast,海岸
coastal,沿岸の
coaster,コー​​スター
coastline,海岸線
coat,コー​​ト
coated,コー​​ティングされた
coating,コー​​ティング
coauthor,共同著作者
coax,同軸ケーブル
coaxed,なだめ
cob,トウモロコシの穂軸
cobble,玉石
cobbler,靴直し
cobblestone,玉石
cobweb,クモの巣
coccus,球菌
cochin,コー​​チン
cochlea,蝸牛管
cochlear,蝸牛の
cockfight,闘鶏
cockle,ザルガイ科の二枚貝
cocky,生意気な
coconstruct,共同構成概念
cocoon,まゆ
coda,コー​​ダ
code,暗号
coded,コー​​ド化された
coder,符号器
codex,写本
codger,おいぼれ
codification,成文化
coding,コー​​ディング
coed,男女共学の
coefficient,係数
coerce,強要する
coerced,強要
coercion,強制
coercive,強制的な
coevolution,共進化
coevolutionary,共進化
coexist,共存する
coexistence,共存
coexpressed,共発現した
coexpression,共発現
cofactor,補因子
coffee,コー​​ヒー
coffeehouse,喫茶店
coffer,財源
coffin,棺おけ
cog,歯
cogeneration,熱電併給
cogent,説得力のある
cogently,人を説得できるほどに
cognate,同系
cognition,認識力
cognitive,認識の
cognizant,認識して
cohabitation,同棲
Cohen,コー​​エン
cohere,密着する
cohesion,凝集
cohesive,凝集
coiled,コイル状
coinage,貨幣
coincide,一致する
coincidence,一致
coincident,一致する
coincidental,偶然
coincidentally,偶然
coinfection,同時感染
coke,コー​​クス
cold,冷たい　
colder,寒い　
coldest,最も寒い　
coldly,冷たく
coldness,寒さ
Cole,コー​​ル
Coleman,コー​​ルマン
coleslaw,コー​​ルスロー
coli,大腸菌
colic,疝痛(せんつう)
colitis,大腸炎
collaborate,協力する
collaborative,共同の
collaborator,協力者
collapse,崩壊
collar,襟
collarbone,鎖骨
collate,照合する
collateral,傍系の
colleague,同僚
collect,集める
collectable,収集可能な
collected,集めた
collecting,収集
collective,集合的な
collectively,集合的に
collectivism,集産主義
colleen,少女
college,大学
collegial,合議
collegiate,大学の
colliculi,丘
collide,衝突する
collided,衝突
collision,衝突
colloquial,口語の
colloquialism,口語表現
colloquy,会話
collude,共謀する
collusion,共謀
collusive,共謀
colocalization,共局在化
colocalize,共存する 
Colombian,コロンビアの
colonel,大佐
colonialism,植民地主義
colonialist,植民地主義者
colonist,入植者
colonization,植民地化
colonize,植民地化する
colonized,植民地化
colonnaded,列柱のある
colony,植民地
color,色
Colorado,コロラド州
coloration,着色
colorblind,色盲
colorectal,結腸直腸の
colored,着色された
coloring,着色
colorless,無色
colors,色
colossal,巨大な
colossus,巨人
colostrum,初乳
colour,色
coloured,着色された
Columbian,コロンブスの
columnar,円柱状の
coma,昏睡
comatose,昏睡状態の
comb,櫛
combat,戦闘
combatant,戦闘員
combating,闘う
combative,闘争的な
combination,組み合わせ
combinatorial,組み合わせの
combined,合わせた
combining,合成
combust,燃やす
combustible,可燃性の
combustion,燃焼
come,来る
comeback,戻ってくる
comedic,喜劇の
comely,器量のいい
comer,コー​​ナー
comestible,食べられる
comet,彗星
comeuppance,当然の報い
comfortable,快適
comfortably,楽に
comforter,慰安者
comforting,慰める
comfy,快適な
comically,こっけいに
comin,やって来る
coming,到来
comity,礼譲
commandant,司令官
commandeer,乗っ取る
commander,司令官
commanding,指揮
commandment,おきて
commemorate,記念する
commemoration,記念
commemorative,記念の
commence,始める
commencement,開始
commend,称賛する
commendable,立派
commendation,表彰
commensal,共生
commensurate,相応の
commentariat,評論家
commentary,解説
commenter,評者
commercialism,商業主義
commercialization,商業化
commercialize,商品化する
commercialized,商品化
commercially,商業
commie,共産党員
commingle,混合する
commiserate,同情する
commiseration,哀れみ
commissar,人民委員
commissary,物資配給所
commission,委員会
committed,献身的な
committee,委員会
commoditization,コモディティ化
commodity,商品
commodore,准将
common,一般
commonality,共通性
commoner,平民
commonly,一般に
commonplace,ありふれた
Commonwealth,イギリス連邦
commotion,騒ぎ
communal,公共
communicable,通信
communicate,通信する
communication,通信
communicative,通信の
communion,交わり
communism,共産主義
communist,共産主義者
communitarian,共同体主義の
commute,通勤
commuted,減刑
comorbid,併存
comorbidity,併存疾患
Comoro,コモロ･イスラム連邦共和国
companies,企業
companionable,人好きのする
companionship,交際
company,会社
comparability,比較可能性
comparable,匹敵する
comparably,同等
comparative,比較の
comparatively,比較的
compare,比較する
comparison,比較
compartmentalization,区画化
compartmentalize,区分する
compassion,思いやり
compassionate,思いやりのある
compatibility,互換性
compatible,互換性のある
compatriot,同胞
compel,強いる
compelling,説得力のある
compendium,大要
compensate,補償する
compensation,補償
compensatory,代償
compete,競争する
competent,有能な
competition,競争
competitive,競争力のある
competitively,競争的に
competitiveness,競争力
competitor,競合他社
complacency,自己満足
complacent,無関心な
complain,文句を言う
complainant,原告
complaint,苦情
complement,補数
complementarity,相補性
complementary,補完的な
complementation,相補性
complemented,補完
complete,完全な
completed,完成した
completely,完全に
completeness,完全
completion,完了
complex,複雑な
complexed,複合化
complexion,顔色
complexity,複雑
compliant,準拠した
complicate,複雑な
complicated,複雑な
complication,合併症
complicit,共謀した
complicity,共犯
compliment,お世辞
complimentary,無料の
complimented,ほめる 
comply,従う
comport,ふるまう
compose,構成する
composed,構成
composer,作曲家
composite,複合
composition,組成
compositional,組成の
compositor,合成器
compost,堆肥
composted,堆肥
composure,落ち着き
compound,化合物
compounding,調合
comprehend,理解する
comprehensible,分かりやすい　
comprehension,理解
comprehensive,包括的な
comprehensively,総合的に
compress,圧縮する
compression,圧縮
comprise,含む
compromise,妥協
comptroller,会計監査官
compulsion,強制
compulsive,衝動的な
compulsory,強制的な
compunction,良心の呵責
computation,計算
computational,計算の
computationally,計算的に
compute,計算
computed,計算された 
computerization,コンピュータ化
computerize,コンピュータ化する
computerized,コンピュータ化された
comrade,同志
con,反対の
concatenated,連結された
concatenation,連結
concave,凹面
conceal,隠す
concealment,隠蔽
concede,認める
conceit,うぬぼれ
conceited,自惚の強い
conceivable,考えられる
conceivably,考えられる限り
conceive,想像する
concentrate,集中
concentrated,濃縮
concentration,濃度
concentric,同心の
concept,概念
conception,構想
conceptual,概念の
conceptualize,概念化する
conceptually,概念的
conceptus,受胎産物
concern,懸念
concerned,心配
concerted,協調した
concession,譲歩
conch,巻き貝
conciliation,調停
conciliatory,なだめる
concise,簡潔な
concisely,簡潔
conciseness,簡潔
concision,簡潔さ
conclude,結論を下す
conclusion,結論
conclusive,決定的な
conclusively,決定的に
concoct,でっち上げる
concoction,でっち上げ
concomitant,付随
concomitantly,付随して
concordant,一致した
concubine,愛人
concur,同意する
concurrence,一致
concurrent,同時
concurrently,同時に
concussion,脳震とう
condemn,非難する
condemnation,非難
condensation,凝縮
condense,凝縮する
condensed,凝縮された
condescend,見下すような態度を取る
condescension,謙遜
condiment,調味料
condition,条件
conditional,条件付きの
conditionally,条件付き
condolence,お悔やみ
condominium,分譲マンション
condone,大目に見る
conducive,助けになる
conduct,行動
conductance,伝導度
conducting,実施 
conduction,伝導
conductivity,導電率
conductor,車掌
conduit,導管
cone,コー​​ン
confab,会談
confection,お菓子
confederacy,同盟
confederate,連盟する
confederation,連合
confer,与える
conferee,会議出席者
conference,会議
confess,告白する
confession,告白
confessional,告白の
confessor,告白者
confetti,紙吹雪
confidant,腹心
confidante,親友
confide,打ち明ける
confidence,自信
confident,自信に満ちた
confidential,機密
confidentiality,機密性
confidently,自信を持って
configure,設定する
configured,構成された
confine,閉じ込める
confinement,閉じ込め
confines,境界
confirm,確認する
confirmation,確認
confirmatory,確認
confirmed,確認された
confiscate,没収する
confiscation,没収
conflagration,大火
conflate,融合する
conflict,紛争
conflicting,相反する
confluence,合流
confluency,密集度
confocal,共焦点
conform,一致する
conformation,立体配座
conformational,立体配座の
conformer,配座異性体
conformity,適合
confound,混乱させる
confounded,べらぼう
confounder,交絡因子
confraternity,奉仕団体
confront,直面する
confrontation,対決
confrontational,対立的な
confucian,儒教の
Confucius,孔子
confuse,混乱させる
confused,混乱した
confusing,紛らわしい
confusion,混乱
confute,論破する
congeal,凝固する
congener,同族
congenial,合う
congenital,先天性の
congested,混雑した
congestion,混雑
congestive,うっ血
conglomeration,かたまり
congratulate,祝う
congratulating,祝う
congratulation,祝い
congratulatory,お祝いの
congregate,集まる
congregation,会衆
congregational,集合の
Congress,議会
congressional,議会の
congressionally,議会
Congressman,下院議員
Congresswoman,女性下院議員
congruence,合同
congruent,合同の
conical,円錐形の
conifer,針葉樹
conjectural,推測
conjecture,推測
conjoined,結合した
conjugate,共役
conjugated,共役した
conjugation,共役
conjunction,接続詞
conjunctivitis,結膜炎
conjure,呪文で呼び出す
conjured,巻き起こし
conk,頭を殴る
Conn,操舵指揮
connect,接続する
connected,接続
connection,接続
connective,結合
connectivity,接続性
connive,黙認する
connoisseur,目利き
connotation,含蓄
connote,暗示する
conquer,征服する
conquered,征服
conqueror,征服者
conquest,征服
conquistador,征服者
conscience,良心
conscientious,良心的な
conscientiously,誠実に
conscious,意識
consciously,意識して
consciousness,意識
conscript,徴集兵
conscription,徴兵
consecrate,奉献する
consecrated,聖体拝領
consecutive,連続した
consecutively,連続して
consensual,合意に基づく
consensus,合意
consent,同意
consequence,結果
consequent,結果
consequential,結果として起こる
consequently,従って
conservancy,管理委員会
conservation,保全
conservationist,自然保護論者
conservatism,保守主義
conservative,保守的な
conservatively,控えめに
conservator,後見人
conservatory,温室
conserve,保存する
conserved,保存されている 
consider,考える
considerable,かなりの
considerably,かなり
considerate,思いやりのある
consideration,検討
consign,委託
consignment,委託
consist,成る
consistency,一貫性
consistent,一貫性のある
consistently,一貫して
consolation,慰め
consoled,慰め
consolidate,統合する
consolidated,連結
consolidation,連結
consonant,子音
consort,配偶者
conspicuous,目立つ
conspicuously,一際
conspiracy,陰謀
conspirator,共謀者
conspiratorial,共謀の
conspire,共謀する
constable,巡査
constabulary,保安隊
constancy,恒常性 
constant,定数
constantly,絶えず
constellation,星座
consternation,仰天
constipation,便秘
constituency,選挙区
constituent,成分
constitute,構成する
constitution,憲法
constitutional,憲法上の
constitutionality,合憲
constitutionally,憲法上
constitutive,構成的な
constitutively,構造的に
constrain,拘束する
constrained,制約
constraint,制約
constrict,締め付ける
constriction,くびれ
construct,構築する
construction,建設
constructive,建設的な
constructively,前向きに
construe,解釈
consul,領事
consular,領事の
consulate,領事館
consult,相談する
consultancy,コンサルタント会社
consultation,相談
consumable,消耗品
consume,消費する
consumer,消費者
consumerism,消費者運動
consuming,消費する
consummate,完璧な
consummation,終焉
consumption,消費
contagion,伝染
contagious,伝染性の
contain,含む
contained,含まれている
containment,封じ込め
contaminant,汚染物質
contaminate,汚染する
contaminated,汚染された
contamination,汚染
contemplate,熟考する
contemplation,熟考
contemplative,黙想にふける
contemporaneous,同時
contemporary,現代の
contempt,軽蔑
contemptible,卑劣な
contemptuous,軽蔑的な
contemptuously,軽蔑
contend,争う
contender,競争相手
contented,満足した
contentedly,満足して
contention,競争
contentious,異論の多い　
contentment,満足
contestant,競争者
contextual,文脈上の
contiguity,隣接
contiguous,隣接する
continence,自制
continent,大陸
contingency,不測の事態
contingent,偶発的な
continual,継続的な
continually,絶えず
continuance,継続
continuation,継続
continue,続ける
continued,継続する
continuity,継続
continuous,連続的な
continuously,継続的に
continuum,連続体
contort,ねじる
contorted,ねじ曲げられた
contortion,ゆがみ
contour,輪郭
contra,反対の
contraband,禁制品
contraception,避妊
contraceptive,避妊薬
contract,契約
contractile,収縮性の
contractility,収縮性
contracting,請負
contraction,収縮
contractor,請負業者
contractual,契約上の
contradict,矛盾する
contradicted,矛盾
contradiction,矛盾
contradictory,矛盾した
contraindication,禁忌
contralateral,反対側の
contraption,工夫
contrary,反対の
contravene,違反する
contravention,違反
contretemps,災​​難
contribute,貢献する
contribution,投稿
contributor,投稿者
contributory,寄与する
contrite,深く悔いている
contrition,悔恨
contrivance,仕組み
contrive,考案する
contrived,不自然な
controllable,制御可能な
controlled,制御された
controlling,制御
controversial,物議を醸す
controversy,論争
contusion,挫傷
conundrum,難しい問題
convalesce,静養
convalescence,回復期
convalescent,回復期の
convection,対流
convene,招集する
convenience,利便性
convenient,便利
conveniently,便利に
convent,修道院
convention,大会
conventional,従来型の
conventionally,従来、
converge,収束する
convergent,収束
conversant,精通している
conversation,会話
conversational,会話の
conversationalist,座談
converse,逆
conversely,逆に
conversion,変換
convert,変換
convex,凸面
convey,伝える
conveyance,運搬
convict,囚人
conviction,有罪判決
convince,納得させる
convinced,確信して
convincing,説得力のある
convincingly,納得のいくように
convocation,招集
convoluted,入り組んだ
convulse,震動させる
convulsion,けいれん
cookbook,料理の本
cookery,料理法
cooking,料理
cookout,野外料理会
coolest,クールな
cooling,冷却
coolly,冷静に
coolness,涼しさ
coop,小屋
cooperate,協力する
cooperation,協力
cooperative,協同組合
cooperatively,協働的
cooperativity,共同性
coordinate,座標
coordinately,協調
coordinating,コー​​ディネート
coordination,コー​​ディネーション
coordinator,コー​​ディネーター
copayment,自己負担額
cope,対処
copier,コピー機
coping,対処
copious,豊富な
copped,捕らえられた
copper,銅
copse,雑木林
Coptic,コプト語
copulate,交尾する
copying,複写
copyright,著作権
cor,うわっ！
Corcoran,コー​​コラン
cord,コー​​ド
cordial,心のこもった
cordially,真心を込めて
cordless,コー​​ドレス
Cordova,コー​​ドバ
corduroy,コー​​デュロイ
Cordy,コー​​ディー
Corinthian,コリントの
cormorant,鵜
cornea,角膜
corneal,角膜の
corner,コー​​ナー
cornerback,コー​​ナーバック
cornerstone,礎石
cornfield,トウモロコシ畑
cornice,コー​​ニス
Corning,コー​​ニング
Cornish,コー​​ニッシュ
cornstarch,コー​​ンスターチ
cornucopia,宝庫
corny,陳腐な
corolla,花冠
corollary,当然の結果
coronary,冠状動脈
coronation,戴冠式
coroner,検視官
coronet,宝冠
corp,コー​​プ
corporal,伍長
corporate,企業の
corporation,法人
corporeal,有体
corps,軍団
corpse,死体
corpus,コー​​パス
corral,囲い
correct,正しい
corrected,補正後
correction,補正
corrective,矯正
correctly,正しく
correctness,正しさ
correlate,相互に関連付ける
correlated,相関
correlation,相関
correlative,相関の
correlogram,相関曲線
correspond,対応する
correspondence,対応
correspondent,特派員
corresponding,対応する
correspondingly,それに対応して
corridor,廊下
corroborate,裏付ける
corroboration,実証するもの
corroborative,裏付けとなる
corrode,腐食
corrosion,腐食
corrosive,腐食性の
corrugated,波形の
corrupt,破損した
corrupted,破損した
corrupting,堕落
corruption,汚職
Corsica,コルシカ島
corso,大通り
cortex,皮質
cortical,皮質の
Corus,コー​​ラス
cosmetic,化粧品
cosmic,宇宙の
cosmological,宇宙論的な
cosmology,宇宙論
cosmonaut,宇宙飛行士
cosmos,宇宙
costar,共演
costimulation,共刺激
costly,高価な
costume,衣装
cosuppression,共抑制
cosy,居心地のよい　
cote,コー​​ト
coterie,同人
cotyledon,子葉
cough,咳
could,可能性
coulter,コー​​ルター
council,協議会
councillor,評議員
councilman,市会議員
councilor,評議員
counsel,弁護士
countenance,表情
counteract,対抗する
counterattack,反撃
counterbalance,対抗勢力
counterclockwise,反時計回りの
counterfeit,偽造
counterinsurgency,暴動対策
counterintelligence,対情報
counterintuitive,直観に反した
countermeasure,対策
counterpoint,対位法
counterproductive,逆効果の
counterrevolutionary,反革命
counterstained,対比
counterterrorism,テロ対策
counterterrorist,対テロ
countervail,相殺する
counterweight,釣り合い
countess,伯爵婦人
countin,数え上げる
counting,集計
countless,数え切れないほどの
countries,国々
country,国
countryman,同胞
countryside,田舎
county,郡
courage,勇気
courageous,勇敢な
courier,急使
course,コー​​ス
court,裁判所
courteous,丁寧
courtesy,礼儀
courthouse,裁判所
courtier,廷臣
courtly,上品な
courtroom,法廷
courtship,求愛
courtyard,中庭
couscous,クスクス(料理)
cousin,いとこ
covalent,共有結合性の
covalently,共有結合
covariance,共分散
covariate,共変量
covariation,共変動
cove,入り江
coven,魔女の集まり
covenant,契約
coverage,報道
covered,覆われた
covert,秘密の
covertly,こっそり
covet,切望する
coveted,誰もが欲しがる
covetous,強欲な
cow,牛
coward,臆病者
cowardice,臆病
cowardly,臆病な
cower,ちぢこまる
cowherd,牛飼い
coworker,同僚
coy,恥ずかしがりの
coyly,恥ずかしそうに
cozy,居心地のよい　
crabby,気難しい
crack,亀裂
crackdown,取り締まり
cracked,ひびの入った
crackerjack,極上品
crackpot,気違い
craftsman,職人
craftsmanship,職人の技
crafty,狡猾な
crag,険しい岩山
craggy,ゴツゴツした
cram,詰め込む
cramp,足が攣る(つる)
cramped,足がつった
cranial,頭蓋の
cranium,頭蓋
cranky,気難しい　
cranny,割れ目
crap,ごみ
crape,ちりめん
crappy,くだらない　
crass,粗野な
crave,切望する
craven,臆病な
craving,渇望
craw,胃袋
crawfish,伊勢エビ
crayfish,伊勢エビ
craze,流行
crazed,気の狂った
crazier,スゴい
crazily,夢中になって
craziness,狂気
creak,きしみ
creaky,老朽化した
crease,しわ
create,作る
creating,作成
creation,創造
creationism,創造説
creationist,創造
creatively,創造的に
creativity,創造性
creature,生き物
credence,信憑
credential,資格
credentials,証明
credibility,信頼性
credible,信用できる
creditor,債権者
credo,信条
credulity,盲信
credulous,だまされやすい　
creed,信条
creek,小川
creeped,ぞっとする
creepy,気味悪い　
cremated,火葬
cremation,火葬
crematorium,火葬場
crenellated,ギザギザのある
Creole,クレオール語
crescent,三日月形
crested,とさかのある
crestfallen,意気消沈した
Cretaceous,白亜紀
Cretan,クレタ島の
Crete,クレタ島
crewman,乗組員
crib,盗用
crick,筋を違える
cried,泣いた 
crier,泣き虫
crime,犯罪
criminal,犯罪者
criminality,犯罪行為
criminalize,犯罪
criminally,犯罪的に
criminologist,犯罪学者
criminology,犯罪学
crimp,ひだ
crimson,真紅
cringe,すくむ
crinkle,しわ
cripple,不具
crippling,壊滅
crisis,危機
crisp,さわやかな
crisply,歯切れよく
crisscross,十字形
criteria,基準
criterion,基準
critic,評論家
criticality,臨界
critically,批判的に
criticise,批判する
criticism,批判
criticize,批判する
critique,批評
critter,生き物
croak,しわがれ声
Croat,クロアチア人
Croatian,クロアチア語
crochet,かぎ針編み
crock,つぼ
crockery,瀬戸物
crone,老婦人
crony,旧友
cronyism,縁故主義
crook,悪党
crooked,ゆがんだ
croon,センチメンタルに歌う
crop,作物
crossbow,石弓
crossfire,十字砲火
crossing,交差点
crosslink,架橋
crossroad,十字路
crossroads,十字路
crosswalk,横断歩道
crosswise,十字に
crotch,股
crotchety,稀代の
crouch,しゃがむ
crowd,群衆
crowded,混雑した
crowning,戴冠
crucial,決定的な
crucially,決定的に
crucible,るつぼ
crucified,十字架につけられ
crucifix,十字架
crucifixion,はりつけ
crucify,張り付けにする
crude,原油
crudely,粗野に
cruel,残酷な
cruelest,悲惨な
cruelly,残酷に
cruelty,残虐
crumb,パンくず
crumble,崩れる
crumbly,もろい　
crummy,安っぽい　
crumple,しわくちゃになる
crunchy,健康志向の
crus,下腿
crusade,十字軍
cruse,小形のつぼ
crushing,押しつぶす
crust,地殻
crustacean,甲殻類
crusty,無愛想な
crutch,松葉杖
crux,最も重要な点
cry,叫び
crying,号泣
cryonic,冷凍保存
crypt,地下室
cryptic,不可解な
cryptography,暗号学
cryptosporidiosis,クリプトスポリジウム症
crystalline,結晶の
crystallization,結晶化
crystallize,結晶化する
Cu,銅
Cuban,キューバの
cubbyhole,こじんまりした場所
cubist,キュビズムの
cud,食い戻し
cuddle,寄り添う
cuddly,かわいい　
cudgel,棍棒
cuisine,料理
culinary,料理の
culminate,絶頂に達する
culmination,最高点
culpable,責められるべき
culprit,問題の原因
cultivar,栽培品種
cultivate,育てる
cultivation,栽培
cultural,文化的
culturally,文化的に
culture,文化
cultured,培養された
cum,精液
cumbersome,面倒な
cumulative,累積的な
cumulus,積雲
cuneiform,楔形文字
cunning,狡猾な
cupboard,食器棚
cur,そっけない
curable,治癒できる
curated,精選
curative,治癒的な
curb,縁石
curbside,縁石側の
curdle,凝固させる
cure,治療法
curfew,門限
curio,骨董品
curiosity,好奇心
curious,奇妙
curiously,不思議なことに
curlicue,渦巻き図形
curly,縮れた
curmudgeon,意地の悪い人
currency,通貨
current,電流
currently,現在
curse,呪い
cursed,のろわれた
cursing,のろい　
cursorily,苦労することなく
cursory,ぞんざいな
curt,素っ気ない
curtail,抑える
curvaceous,曲線美の
curvature,曲率
curved,湾曲した
curvilinear,曲線の
curvy,曲がりくねった
cushy,楽な
cuspid,犬歯
cuss,悪口
custodial,保管の
custodian,管理人
custody,親権
customarily,通例
customary,慣用
customer,顧客
customization,カスタム化
cutaneous,皮膚の
cutaway,断面図
cutback,減らす
cute,可愛い　
cuteness,可愛らしい
cuter,25セント
cutest,かわいい　
cutesy,かわい子ぶった 
cutoff,断つ
cutout,切り取る
cutthroat,熾烈な
cutting,切断
cyanide,シアン化物
cyanobacterial,藍色細菌の
cycled,循環
cyclical,循環
cygnus,白鳥座
cylindrical,円筒形
cynic,皮肉屋
cynically,皮肉なことに
cynicism,皮肉
Cyrillic,キリル文字
cyst,嚢胞(のうほう)
cystic,嚢胞性の
cytogenetic,細胞遺伝学的
cytokinesis,細胞質分裂
cytological,細胞学的な
cytology,細胞学
cytometer,血球計算器
cytometry,血球数測定
cytoplasm,細胞質
cytoplasmic,細胞質の
cytoskeletal,細胞骨格の
cytoskeleton,細胞骨格
cytosol,細胞質ゾル
cytosolic,細胞質の
cytotoxic,細胞傷害性の
cytotoxicity,細胞毒性
cytotrophoblast,細胞栄養芽層
Czar,皇帝
dab,軽くたたく
dabble,ちょっかい
dabbler,カモ(鳥)
dad,お父さん
daffodil,水仙
daily,日々
Daimlerchrysler,ダイムラー·クライスラー
dainty,きゃしゃな
dairy,乳製品
dais,高座
dalliance,戯れ
damaged,損傷を受けた
damages,損害賠償額
damaging,損害を与える
dammit,くそ
damn,くそー
damnable,天罰が下る
damnation,天罰
damned,のろわれた
damnedest,最大限
damning,悪事を証明する
damnit,畜生
damp,湿った
dampen,湿らせる
dampness,湿気
damsel,乙女
danced,踊っ
dander,ふけ
dandruff,ふけ
danger,危険
dangerous,危険な
dangerously,危険なほど
dangle,ぶら下げる
Danish,デンマーク語
dank,じめじめした
Danube,ドナウ川
dapper,粋な
dapple,まだら
dappled,まだら模様の
dare,挑戦
daredevil,命知らず
daring,大胆な
dark,暗い　
darken,暗くする
darkened,暗い　
darker,暗い　
darkest,最も暗い　
darkly,暗く
darkness,闇
darkroom,暗い部屋
darn,かがる
darned,とびきり
darted,ダーツの
dastardly,卑劣な
date,日付
dateline,日付変更線
dating,年代測定
dative,与格
daub,塗りつぶす
daughter,娘
daunt,威圧する
daunting,手ごわい　
dawdle,ぐずぐずする
dawg,仲の良い友達
dawn,夜明け
dawned,夜が明けた
day,日
daybreak,夜明け
daydream,白昼夢
daylight,日光
daylong,終日
days,日
daytime,昼間
daze,夢中
dazed,ぼうぜんとした
dazzle,まぶしさ
dazzling,眩しい　
deacetylase,脱アセチル化酵素
deacon,執事
deaconess,奉仕する女性
deactivate,非活性化する
dead,死んだ
deadbeat,借金を踏み倒す人
deaden,和らげる
deadliest,最悪
deadline,締め切り
deadly,致命的な
deadpan,無表情な
deadwood,枯れ木
deafen,聴覚を奪う
deafness,難聴
deal,取引
dealership,販売特約店
dealing,取引
dealings,取引
dean,学部長
dear,かわいい　
dearest,最愛
dearly,心から
dearth,不足
death,死
deathbed,臨終
deathly,死人のように
debacle,大失敗
debase,落とす
debased,変造
debasement,変造
debatable,議論の余地のある
debater,討論者
debauchery,道楽
debby,社交界の若い女
debilitating,衰弱させる
debility,衰弱
debit,借方
debonair,愛想のいい
debrief,報告を受ける
debris,破片
debt,借金
debtor,債務者
debunk,暴く
debunked,暴かれた 
Dec,12月
decade,10年
decadent,退廃的な
decaf,カフェイン抜きのコーヒー
decamp,密かに逃亡する
decapitate,首を切る
decapitated,断頭
decapitation,断頭術
decay,崩壊
decayed,腐った
decease,死亡
deceased,故人
deceit,詐欺
deceitful,うそつきの
deceive,欺く
deceiver,詐欺師
decelerate,減速する
December,12月
decency,良識
decennial,10年間の
decent,まともな
decently,きちんと
decentralization,地方分権化
decentralize,分散化する
decentralized,分権的
deception,ごまかし
deceptive,欺瞞
deceptively,一見
decide,決める
decidedly,明らかに
decidual,脱落膜
deciduous,落葉性の
decimal,10進数
decipher,解読
deciphered,解読
decision,決定
decisive,決定的
decisively,決定的に
deckhand,甲板員
declaim,諳誦する
declaration,宣言
declarative,宣言の
declare,宣言する
declared,宣言された
declassified,機密解除された
declination,衰退
decline,下落
declining,減少
decoction,煎じ薬
decommission,廃止する
decompose,分解する
decomposition,分解
decongestant,充血除去剤
deconstruct,分解する
deconstructing,解体
deconstruction,脱構築
decontrol,統制解除
decor,装飾
decorate,飾る
decoration,装飾
decorative,装飾的な
decorator,装飾者
decorous,上品な
decorum,礼儀作法
decoy,おとり
decrease,減少
decree,法令
decrepit,老朽化した
decrepitude,老衰
decriminalization,非犯罪化
decriminalize,非犯罪化する
decry,非難する
decrypt,解読する
dedicate,ささげる
dedicated,専用の
dedication,献身
deduce,推論する
deduced,推定される
deduct,差し引く
deductible,控除できる 
deduction,控除
deed,証書
deem,判断する
deepen,深める
deeper,もっと深く
deepest,最深
deeply,深く
deer,鹿
deface,損なう
defamation,名誉毀損
defamatory,中傷的な
defame,誹謗する
defeat,敗北
defeated,敗者
defeatist,敗北主義者
defecate,排便する
defect,欠陥
defection,亡命
defective,不良品
defector,亡命者
defence,防衛
defend,守る
defendant,被告
defense,防衛
defenseless,無防備
defensible,防御できる
defensive,守備
defensively,防御的に
defer,延期する
deference,服従
deferential,敬意を表する
deferment,延期
deferral,延期
defiance,反抗的な態度
defiant,反抗的な
defiantly,ふてくされて
defibrillator,除細動器
deficiency,欠乏症
deficient,不十分な
deficit,赤字
